epoch,train_loss,train_acc,test_loss,test_acc
1,0.2774491796684265,90.402,0.41996809391975404,86.17
2,0.2614021644306183,90.90599999999999,0.4042504987239838,87.24
3,0.23850363966941834,91.696,0.3547468873023987,88.53
4,0.22769163170337678,91.972,0.37460473279953005,87.92
5,0.2077084475326538,92.74799999999999,0.3415086899995804,88.91
6,0.19538426536083223,93.162,0.3651160283565521,88.51
7,0.17891836443424225,93.644,0.3561671823501587,89.5
8,0.17085995400428772,93.958,0.3380023752689362,89.84
9,0.15944270560264587,94.488,0.34929973077774046,90.07
10,0.14848097484588624,94.816,0.4039556505918503,88.73
